%"Time"	"0 Channel 1"
2238.841760	10.799438
2239.041728	10.738403
2239.241696	10.768921
2239.441664	10.738403
2239.641632	10.784180
2239.841600	10.677368
2240.041568	10.707886
2240.241536	10.707886
2240.441504	10.524780
2240.641472	10.601074
2240.841440	10.494263
2241.041408	10.616333
2241.241376	10.540039
2241.441344	10.646851
2241.641312	10.662109
2241.841280	10.601074
2242.041248	10.494263
2242.241216	10.540039
2242.441184	10.601074
2242.641152	10.585815
2242.841120	10.509521
2243.041088	10.402710
2243.241056	10.463745
2243.441024	10.540039
2243.640992	10.295898
2243.840960	10.631592
2244.040928	10.723145
2244.240896	10.524780
2244.440864	10.372192
2244.640832	10.585815
2244.840800	10.387451
2245.040768	10.280640
2245.240736	10.372192
2245.440704	10.463745
2245.640672	10.372192
2245.840640	10.372192
2246.040608	10.265381
2246.240576	10.479004
2246.440544	10.372192
2246.640512	10.250122
2246.840480	10.280640
2247.040448	10.402710
2247.240416	10.402710
2247.440384	10.280640
2247.640352	10.372192
2247.840320	10.265381
2248.040288	10.219604
2248.240256	10.356934
2248.440224	10.219604
2248.640192	10.326416
2248.840160	10.189087
2249.040128	10.311157
2249.240096	10.280640
2249.440064	10.173828
2249.640032	10.082275
2249.840000	10.265381
2250.039968	10.158569
2250.239936	10.250122
2250.439904	10.295898
2250.639872	10.189087
2250.839840	10.173828
2251.039808	10.097534
2251.239776	10.250122
2251.439744	10.082275
2251.639712	10.082275
2251.839680	10.219604
2252.039648	10.082275
2252.239616	10.204346
2252.439584	10.295898
2252.639552	9.975464
2252.839520	10.005981
2253.039488	10.112793
2253.239456	10.005981
2253.439424	10.036499
2253.639392	9.975464
2253.839360	10.067017
2254.039328	10.051758
2254.239296	9.914429
2254.439264	10.051758
2254.639232	10.036499
2254.839200	10.021240
2255.039168	9.990723
2255.239136	10.005981
2255.439104	9.975464
2255.639072	9.975464
2255.839040	10.112793
2256.039008	10.082275
2256.238976	10.036499
2256.438944	9.822876
2256.638912	9.990723
2256.838880	9.929688
2257.038848	9.929688
2257.238816	9.899170
2257.438784	9.731323
2257.638752	9.899170
2257.838720	9.914429
2258.038688	9.929688
2258.238656	9.746582
2258.438624	9.777100
2258.638592	9.990723
2258.838560	9.883911
2259.038528	9.990723
2259.238496	9.822876
2259.438464	9.960205
2259.638432	9.914429
2259.838400	9.944946
2260.038368	9.899170
2260.238336	9.883911
2260.438304	9.838135
2260.638272	9.777100
2260.838240	9.838135
2261.038208	9.914429
2261.238176	9.807617
2261.438144	9.853394
2261.638112	9.960205
2261.838080	9.868652
2262.038048	9.822876
2262.238016	9.899170
2262.437984	9.792358
2262.637952	9.731323
2262.837920	9.929688
2263.037888	9.914429
2263.237856	9.731323
2263.437824	9.822876
2263.637792	9.914429
2263.837760	9.685547
2264.037728	9.777100
2264.237696	9.929688
2264.437664	9.822876
2264.637632	9.777100
2264.837600	9.883911
2265.037568	9.975464
2265.237536	9.838135
2265.437504	9.838135
2265.637472	9.899170
2265.837440	9.944946
2266.037408	9.792358
2266.237376	9.807617
2266.437344	9.807617
2266.637312	9.731323
2266.837280	9.624512
2267.037248	9.883911
2267.237216	9.838135
2267.437184	9.838135
2267.637152	9.731323
2267.837120	9.838135
2268.037088	9.914429
2268.237056	9.777100
2268.437024	9.700806
2268.636992	9.716064
2268.836960	9.822876
2269.036928	9.655029
2269.236896	9.624512
2269.436864	9.655029
2269.636832	9.593994
2269.836800	9.746582
2270.036768	9.563477
2270.236736	9.593994
2270.436704	9.761841
2270.636672	9.624512
2270.836640	9.731323
2271.036608	9.670288
2271.236576	9.731323
2271.436544	9.609253
2271.636512	9.822876
2271.836480	9.639771
2272.036448	9.731323
2272.236416	9.761841
2272.436384	9.609253
2272.636352	9.593994
2272.836320	9.700806
2273.036288	9.578735
2273.236256	9.716064
2273.436224	9.700806
2273.636192	9.639771
2273.836160	9.517700
2274.036128	9.593994
2274.236096	9.685547
2274.436064	9.655029
2274.636032	9.777100
2274.836000	9.578735
2275.035968	9.639771
2275.235936	9.655029
2275.435904	9.655029
2275.635872	9.502441
2275.835840	9.578735
2276.035808	9.639771
2276.235776	9.578735
2276.435744	9.639771
2276.635712	9.685547
2276.835680	9.487183
2277.035648	9.517700
2277.235616	9.548218
2277.435584	9.517700
2277.635552	9.578735
2277.835520	9.471924
2278.035488	9.670288
2278.235456	9.624512
2278.435424	9.746582
2278.635392	9.548218
2278.835360	9.593994
2279.035328	9.639771
2279.235296	9.456665
2279.435264	9.593994
2279.635232	9.609253
2279.835200	9.563477
2280.035168	9.578735
2280.235136	9.670288
2280.435104	9.548218
2280.635072	9.624512
2280.835040	9.426147
2281.035008	9.532959
2281.234976	9.517700
2281.434944	9.548218
2281.634912	9.502441
2281.834880	9.395630
2282.034848	9.456665
2282.234816	9.395630
2282.434784	9.563477
2282.634752	9.532959
2282.834720	9.517700
2283.034688	9.563477
2283.234656	9.487183
